Encoded,MrD,vRd,TableName
T-D-MM2-VV1-REI120-CV35-X80-H190-6.0,15.2,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV35-X80-H190-6.0,30.4,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV35-X80-H190-6.0,14.1,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV35-X80-H190-6.0,28.2,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV35-X80-H190-6.0,12.8,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV35-X80-H190-6.0,25.6,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV30-X80-H190-6.0,15.9,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV30-X80-H190-6.0,31.8,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV30-X80-H190-6.0,14.7,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV30-X80-H190-6.0,29.4,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV30-X80-H190-6.0,13.4,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV30-X80-H190-6.0,26.8,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV50-X80-H230-6.0,15.9,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV50-X80-H230-6.0,31.8,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV50-X80-H230-6.0,14.7,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV50-X80-H230-6.0,29.4,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV50-X80-H230-6.0,13.4,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV50-X80-H230-6.0,26.8,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV35-X80-H200-6.0,16.5,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV35-X80-H200-6.0,33.0,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV35-X80-H200-6.0,15.3,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV35-X80-H200-6.0,30.6,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV35-X80-H200-6.0,14.0,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV35-X80-H200-6.0,28.0,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV30-X80-H200-6.0,17.2,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV30-X80-H200-6.0,34.4,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV30-X80-H200-6.0,15.9,46.4,Schock_Isokorb_T_Typ_D_6.0_2
